Sno.,Comment,"Overall Experience	"
93,,IT WAS GOOD. THE ASSESSMENT COMPLETED ON TIME.ASSESSORS WERE VERY POLITE AND MADE THE CLIENT VERY COMFORTABLE.
94,Some assessor did not confirm first and raise weak NCs on portal which could not be reverted.,it was good.
95,,EXCELLENT.
96,,EXCELLENT
97,,    over all experience was good 
98,,
99,,IT WAS VERY GOOD
100,,GOOD.
101,,it was good
102,,
103,SOME ASSESSORS HAVE DUPLICATE CRITERIA ,IT WAS GOOD 
104,WHEN AUDITORS CAM FROM THEIR HOME TOWN THEY COLLECT THE AMOUNT FROM THEM.,  EXPERIENCE WAS GOOD. 
105,,
106,,
107,,GOOD
108,,
109,,VERY GOOD.
110,,
111,,it was very good
112,,Excellent.
113,,it was good. We are very satisfied with the assessor and the whole process. 
114,,very good.
115,,VERY GOOD
116,,"It was good. Assessor were nice and it was an online audit, everything went well."
117,,EXCELLENT
118,,OVER ALL EXPERIENCE WAS GOOD
119,,good assesers and experience was good
120,,EXCELLENT.
121,,
122,,
123,,GOOD.
124,ASSESSOR BEHAVIOUR,IT WAS VERY NICE
125,,
126,,EXCELLENT 
127,,
128,,VERY SATISFACTORY.
129,LAB MANAGER SUGGESTED THAT THE ASSESSORS SHOULD BE FROM SOUTH INDIA ONLY BECAUSE THEY HAVE TO BEAR THEIR EXPENSES.,IT WAS GOOD LEARNING EXPERIENCE.
130,,ASSESSMENT GONE VERY GOOD 
131,,
132,,GOOD.
133,,5. It was good. 
134,,
135,,Excellent. One suggestion is that at least two days should be given for uploading of documents.
136,",OK,OK","IT WAS  GOOD, IT WAS FAIR  NOTHING ."
137,,very good
138,,
139,,very good.
140,,"It was very good. The assessors were technically very knowledgeable and expert of the field,also suggested good improvements for our lab."
141,,Very knowledgeable. The assessors did their work rightly and following all the protocols 
142,,EXCELLENT.
143,,Excellent. We are happy with the NABL process
144,,Good
145, GAVE NONE CONFIRMATIVE  WITHOUT ANY INFORMATION AND DSSCUSION  . ONLY REFER IT,GOOD 
146,, very good .
147,,wrong number
148,,experience was good.
149,,it was good
150,,Great! 
151,,EXCELLENT
152,,NICE.
153,,
154,, experience was good 
155,,GOOD 
156,,EXCELLENT.
157,,
158,the dealing officer was making some problem . every time we have to deal with new dealing officer.,it was acceptable
159,, EXCELLENT 
160,,it was very good
161,,Everything conducted timely. We are happy with the assessors.
162,,it was good
163,,EXCELLENT.
164,,overall experience was good.
165,,excellent
166,, good. 
167,, overall experience was good.
168,,Good. 
169,, OVER ALL EXPERIENCE WAS VERY GOOD .
170,,VERY NICE.
171,,"Very good, we are very satisfied. Assessors were confident and had clear idea about their work."
172,,good
173,,GOOD
174,,
175,," EVERY MOVEMENT WAS VERY HELPFUL  , EXPERIENCE WAS GOOD. "
176,,IT WAS VERY GOOD
177,,Excellent
178,,very good
179,,ASSESSORS WERE VERY TALENTED AND KNOWLEDGEABLE.
180,,it was good
181,, OVER ALL EXPERIENCE WAS GOOD AND THANKFUL OF NABL FOR GIVING THIS OOPORTUNITY.
182,,EXCELLENT EXPERIENCE. CLIENT WAS VERY MUCH PLEASE WITH THE ASSESSORS.
183,,
184,,
185,,GOOD
186,,it was good
187,,very  nice 
188,, AUDIT WAS GOOD .
189,,
190,,VERY NICE.
191,,EXCELLENT.
192,,
193,,
194,,
195,, IT WAS 1ST EXPERIENCE AND THAT WAS EXCELLENT. 
196,,IT WAS VERY GOOD AND HELPFUL.
197,,VERY GOOD
198,, EXCELLENT 
199,,IT WAS EXCELLENT .
200,,
201,,very good.
202,,VERY GOOD
203,, experience was good.
204,NABL DOES NOT ALLOW CAP LOGO OF ANY OTHER ACCREDITATION BOARD WHICH IS NOT RIGHT I THINK. ,GOOD. THEY WERE VERY PROFESSIONAL AND PANTUAL.  
205,,FINE
206,IN FUTURE IF POSSIBLE SEND ASSESSOR FROM LOCAL. IT BECOMES LITTLE EASY TO HANDLE .,IT WAS VERY GOOD
207,,EXCELLENT.
208,,
209,THE MEETING WAS LATE 5-7 MINUTES., EXPERIENCE WAS GOOD .
210,,
211,,
212,,The audit was done successfully with the cooperation of assessors . We only face problem in NABL site and application.
213,,IT WAS EXCELLENT. 
214,,it was good
215,,VERY GOOD . THE AUDIT WAS SO TRANSPARENT.
216,,SATISFACTORY  THE ASSESSOR CAME IN TIME AND ASKED RELAVENT QUESTION ALWAYS WAS FOCUSED ON THE TOPIC â€¦ HE WAS TALKING ABOUT NC AND SOME PARAMETERS.
217,,
218,,It was not pleasant at all. The auditors were not at all professional and their behavior was very bad. They have raised irrelevant and irrelevant NCs. Also even after our closing of NCS she took 10-12 days to close from her side. BETTER AUDITORS SHOULD BE SENT FOR AUDIT.
219,,
220, Dr. neelam singh behaviour and she did not has patient .,over all experience was good.
221,,It was Nice. Its better to have onsite  assessment rather than having it through a zoom meeting.
222,,IT WAS GOOD 
223,,GOOD
224,,very good
225,,Great.
226,DR. SHABNAM 'S ATTITUDE WAS NOT GOOD ,EXPERIENCE WAS SATSFACTORY 
227,,SATISFACTORY 
228,the portal of NABL should improve,it was great 
229,THE ASSESSMENT TIMINGS,IT WAS GOOD. I CAME TO LEARN ABOUT MANY THINGS.
230,,It was very good.
231,,
232,,Excellent
233,,It was great. We did not face any problem.
234,,BEHAVIOR OF THE BOTH ASSESSORS WAS VERY GOOD.  VERY SATISFIED.
235,,
236,,IT WAS VERY GOOD
237,,IT WAS EXCELLENT 
238,,Excellent
239,,It was very good. 
240,,The behavior of assessors was good and everything was completed on time. They coordinated and interacted very well with the staff.
241,,Excellent.
242,,excellent 
243,DR SURYANARAYAN WAS SO RUDE.,VERY GOOD.
244,,IT WAS GOOD.
245,,IT WAS VERY GOOD
246,, EXCELLENT
247, Assessors raised NC on portal about the things which was available in the lab. They should first discuss because the NC can not be reverted. Our assessors raised very weak NCs. Also there should be option to revert the NC by lead assessor.,Assessment process was good. There are two things about which our lab face problem a lot of times. First is NABL site is very slow and does not work at all many times. Second is NABL audit extension process should be fast as many times due to this our NABL accreditation process get delayed and we face monetory loss as our client ask for the certificate.
248,,good
249,,over all experience was fair.
250,,
251,,IT WAS GOOD . 
252,,IT WAS FINE 
253,,GOOD.
254,,
255,, IT WAS GOOD AUDIT.
256,,
257,,VERY GOOD.
258,,IT WAS GOOD BETTER THEN PREVIOUS (2019)
259,DR SAMUDRA GUHA bio chemichal  technical assesssor has the limited knowledge.,good
260,, it was good.
261,,it was very good
262,,"IT WAS VERY GOOD
"
263,,
264,,Fine
265,,VERY GOOD.
266,,
267,,very nice.
268,,IT WAS OK
269,,Satisfied
270,,VERY GOOD
271,DR RUPREKHA HEGDE'S BEHAVIOR WAS SO RUDE .SHE WAS SHOUTING AT THE STAFF UNNECESSARILY. SHE WAS ALSO CONVINCING THE OTHER ASSESSORS TO GIVE MORE AND MORE NC'S.,VERY BAD
272,,
273,,It was very good. 
274,,It was good. The assessors were very professional. Only we faced problem in online meeting because the interaction is not that efficient in online. 
275,,It was very good. One suggestion is please provide assessors from the near by city around the lab because it becomes difficult for the assessors to travel so far and timely complete the audit.
276,,
277,,good
278,,THE ASSESSOR WAS VERY KNOWLEDGABLE PERSON AND WAS VERY GOOD . HE ASKED AND GAVE US A LOT OF INFORMATION. WAS VERY GOOD IN BEHAVIOUR.
279,,that was 4th assesement and it'swas too good compare then others. Assesement experience was excellent.
280,,GOOD
281,,
282,,
283,,Wonderful.  it was quality assessment. 
284," there were many issue they have create because of camera .and they annoye , scouting  and they have rude behaviour .",worst experience. 
285,,very nice
286,,experience was exellent . Knowledble nice over all too good experience.
287,,IT WAS GOOD
288,TECHNICAL ASSESSOR WAS NOT READY TO LISTEN TO LISTEN TO LAB PERSON. IF THEY WANTED TO SHOW HIM ANYTHING HE TOTALLY DENIED.,It was good.
289,,"It was very good. The assessors were very good people, they gave us great learning. One suggestion is, there should be a special observer. Last time there was one but this time there were only assessors and no observer."
290,"THE WAY SHE BEHAVED AND MANNER,S WAS NOT GOOD . IT WAS A DEMOTIVATIVE AUDIT ",IT WAS BAD
291,,
292,,It was good.
293,,
294,hybrid medium should be stopped as its creates misunderstandings.,ok
295,,EXCELLENT
296,,good
297,,Ok.
298,,ALL GOOD
299,,Everything was very good. Assessors was very confident and gave us improvement suggestions.
300,Confidentiality should be maintained  at all cost.,Dealing was very great and there should be law for assessors that need to be included that assessors complete the assessment  on time.
301,,IT WAS GOOD 
302,,
303,,
304,,satisfactory
305,,Excellent
306,,It was good. Assessors were friendly and to the point.
307,THERE WAS LITTLE COMMUNICATION GAP BETWEEN  ASSESSORS.,VERY GOOD.
308,,
309,"they informed us before  5 days ago but they dd not do anything on date and suddenly they had told us ,we could reject but we did not want to delay any more because  we were already late.",good
310,,
311,,Everything was conducted in systematic manner and with patience. it was great experience.
312,,GREAT
313,,it was good
314,,very good experience
315,"the dealing officer was making lot of problem , NABL should improve it. very much disspointed in NABL  and certificATE still not recieved .",it was dissopointing 
316,,
317,,
318,, EXPERIENCE WAS GOOD 
319,,Very good. We learnt a lot.
320,,VERY GOOD
321,,it was excellent 
322,,it was good.
323,,IT WAS GOOD. 
324,,GOOD 
325,,very good experience
326,,IT WAS A GREAT LEARNING PROCESS. THEY FOLLOWED ALL THE PROTOCOLS . THEY WERE VERY CALM DURING THE ASSESSMENT.
327,,It was wonderful and a great learning experience for us.
328,,
329,,
330,,
331,,
332,,Excellent.
333,,EXCELLENT
334,,good learning expeerience
335,,
336,,IT WAS GOOD
337,,
338,, EXPERIENCE WAS EXCELLENT.
339,,
340,,was ok
341,,overall experience was good.
342,The time management was not good. Assessment started at 9 am and ended at 2:30 pm.,It is good overall. Nothing such but assessor should focus on audit only and not waste the time on other places.
343,,good.
344, there was online assessment and timing problem because of network issue otherwise every thing was good, that was good
345,,Excellent. We are very happy with the process and would like to have the same assessment again.
346,,excellent.
347,,
348,,good
349,,IT WAS NICE
350,,
351,,It was very good learning experience.
352,,VERY GOOD 
353,THE ASSESSMENT WAS DELAYED .,IT WAS GOOD
354,,it was good
355,,
356,,it was good
357,, EXPERIENCE WAS GOOD AS PER GUIDELINE .
358,,
359,,FINE.
360,The way  Ms.Seeta Lakshmi was auditing was not appreciable.,excellent.
361,,Excellent
362,,Excellent.
363,,great
364,,it was excellent
365,,good nothing else
366,,
367,,GOOD
368,,LEAD ASSESSOR WAS VERY GOOD.SATISFACTORY.
369,,WONDERFUL
370,,"Dr. Aruna Gautam was the lead assessor and she is very knowledgeable, cooperative and made us learn  new things.Also, she pointed the points which is not satisfactory which we can keep in consideration to not repeat same mistakes in future. Ma'am was very senior to us and supportively trained us .  The complete Audit was professional and healthy ."
371,,GOOD
372,, good
373,,
374,,It was good. 
375,,excellent
376,,IT WAS GOOD 
377,,Best. ONE SUGGESTION: Assessment should be in onsite mode because the interaction would be more efficient that way.
378,, experience was knowlwdgale
379,ASSESSMENT THROUGH ONLINE MODE WAS NOT EASY. IT WOULD HAVE BEEN BETTER IF THEY TAKE THE COMPLETE AUDIT IN OFFLINE MODE.,IT WAS GOOD.
380,,
381,,"it was better then other audits
suggestion:-  they were not showing any documents "
382,,
383,,VERY GOOD.
384,,
385,,
386,,experience wras knowledgeble  and good
387,,it was good
388,, Very comfortable and satisfactory. It was great learning process .
389,,
390,,EXCELLENT. 
391,,
392,,excellent
393,,
394,,very nice
395,,fine
396,,well organised and excellent
397,,it was excellent
398,SUGGESTION;- OFFLINE AUDIT CAN BE GOOD , EXPERIENCE WAS GOOD.
399,,GOOD
400,,very good. 
401,,IT WAS SO GOOD.
402,,GOOD .
403,There should be a standard documentation format as the different assessors demand different formats.,It was Fine. The assessors were mentioning the requirements satisfactory for two times But 3 rd time they are unsatisfied on the same paremeter.
404,,good
405,"1. Less critical things were payed more attention. 2. They raised NC on our consultant that he is not authorised, but actually he was and now we don't know how to solve it. 3. We observed that they were comparing our labs and resources with their big labs. ",Good. ONE SUGGESTION :  NCs should be less confusing. 
406,,
407,,"good.But contact person in application was Abhishek kumar we were getting the things late every time, we have to open the portal and then check while Mr.Bhaskar  (The dealing officer)was cooperative via mails."
408,,VERY GOOD.
409,,
410,,
411,,very good.
412,,EXCELLENT
413,,
414,,satisfactory.
415,,EXPERIENCE WAS GOOD 
416,,EXCELLENT
417,,VERY NICE
418,,VERY GOOD
419,, IT WAS 1ST AUDIT AND IT WAS GOOD.
420,,GOOD.
421,,GOOD
422,,it was very good
423,,
424,,IT WAS GOOD.
425,,EXCELLENT.
426,,VERY GOOD
427,,GOOD 
428,,EXPERINCE WAS GOOD
429,,FINE.
430,,IT WAS EXCELLENT 
431,,Nice
432,,
433,,"SATISFACTORY
SUGGESTION ;- DO NOT GIVE PERSONAL E MAIL "
434,,It was excellent. 
435,,
436,,"It was good but because of unfortunate circumstances due to Covid-19, the assessment was held online , an offline assessment would have been more favourable."
437,,SATISFIED
438,"Not actually disliked but it is a suggestion that the time for answering the NCs is very short, at least one day should be given.","It was very good and learnt many things that we will implement in our lab. This time the assessment was very much better from the last time, we really appreciate the whole process and the assessors."
439,,
440,,excellent
441,The behaviour of one assessor -Dr. Sunita Gupta.  Not like to have her in future audit as she was shouting on the staff which is also further harassing the staff.,Everything was perfect except the particular assessor mentioned above.
442,,VERY GOOD.
443,,It was good.
444,,EXCELLENT. THE LAB MANAGER SUGGESTED THAT THE CHECKLIST SHOULD BE PROVIDED TO LABS.
445,,
446,,
447,,EXCELLENT
448,,good
449,,Happy with the process. The NABL assessment process has improved very much
450,,
451,, experience was wonderful . 
452,,good experience and Dr. Navin was they likes to him because he was share his experience . They are thanks full to all asseser .
453,,
454,,it was good
455,,Satisfactory.
456,The expenses for NABH is very high for a small lab like us.,We felt good. We now know where we are lacking and has been provided with helpful insights that will help us to improve. 
457,,It was Great.
458,, IT WAS GOOD EXPERIENCE 
459,,GOOD
460,,EXCELLENT
461,,It was good. But we have faced one problem that is the methods they have told us to use are not working on our machines and thus they are not giving right results. Our lab is a small lab but they have compared it with their lab resources.
462,,
463,,
464,,"EXCELLENT 
SUGGESTION ;- SHOULD BE OFFLINE FOR BETTER RESULT"
465,,learned a lot. it was good experience.
466,,IT WAS VERY GOOD.
467,, good experience. there was lot of knowledge.
468,,SATISFACTORY 
469,,VERY GOOD.
470,,It was Good.
471,,it was good
472,, good and learning experience.
473,,It was very good. The assessment was very well conducted.
474,,
475,,
476,,VERY GOOD
477,,
478,,EXCELLENT.ONE SUGGESTION IS THERE THAT DOCUMENTATION SHOULD BE SIMPLIFY FOR SMALL LABS.
479,, experience had 10 years and during this assessment experience was good. 
480,,very good 
481,,over all experience was good.
482,,Everything was ok.
483,,
484,,excellent
485,,overall experience was good.
486,SOME TECHNICAL GLITCHES WERE THERE OTHERWISE IT WAS GOOD.,EXCELLENT.
487,,
488,"Surveiliance should be done in at least 2 days, 1 day is very less.",Learning and helpful. THE SUGGESTION:  There should be an oral assessment before the surveilliance for the newly opened labs.
489,,it was good
490,,GOOD LEARNING SESSION.
491,,
492,, very good   .
493,,"it was good ,things were in time"
494,,It went on very well and completed as per the time. We all had a great experience and assessors were very cooperative.
495,,
496,,Excellent.
497,,VERY GOOD EXPERIENCE.
498,,it was very good assessment this time even the labs staff appreciated it.
499,, VERY GOOD EXPERIENCE.
500,,EXCELLENT
501,,
502,,IT WAS GREAT
503,,It was fine.
504,,
505,,VERY GOOD EXPERIENCE.
506,,it was good 
507,,
508,,VERY  NICE.
509,,it was good
510,,NICE
511,,GVERY GOOD.
512,,Both assessors were very knowledgeable and also talking very politely.
513,,excellent
514,SOME TECHNICAL ISSUES.,IT WAS FINE.
515,he said that lab should be ready for the expense of the auditor ,it was not good 
516,, experience was good.
517,,excellent
518,,excellent
519,,EXCELLENT.
520,,
521,,good
522,,
523,,
524,,
525,,Very good
526,,EXCELLENT 
527,,ALL THE 5 ASSESSORS WERE GOOD AND IT WAS AN EXCELLENT TIME .SINCE THIS WAS OUR FIRST TIME WE GOT TO KNOW MANY THINGS AND WANT DR. ALKA GANDA AGAIN AS A ASSESSOR BECAUSE SHE WAS REALLY GOOD AND MADE US UNDERSTAND MANY THINGS. 
528,,
529,,VERY GOOD
530,,overall was good
531,,IT WAS GOOD. 
532,,
533,,
534,,
535,,very good
536,,VERY  GOOD.
537,,It was Good.
538,,EXCELLENT
539,,VERY GOOD.
540,,it was good experience.
541,,VERY GOOD
542,,very good.
543,, assessment was helpful and experience was good.
544,,excellent
545,,VERY GOOD LEARNING PROCESS.
546,,it was good.
547,,It was good. 
548,,IT WAS GOOD 
549,,excellent.
550,,AWESOME
551,,VERY GOOD 
552,,it was fine
553,,It was Good.
554,,VERY NICE ASSESSORS WERE SO INFORMATIVE AND HELPFUL
555,,It was very good. 
556,,IT WAS VERY GOOD
557,,excellent
558,,
559,,
560,,they are good assessors and have sound knowledge.
561,,"IT WAS GOOD 
SUGGESTION ;-  CAN NABL ARRANGE ONLINE AND OFFLINE AUDIT "
562,,It was a great learning experience.
563,,
564,,excellent
565,THE NATURE OF NC'S,GOOD
566,,VERY GOOD.
567,,IT WAS GOOD.
568,,VERY GOOD 
569,,IT WAS EXCELLENT
570,,"EXCELLENT.
"
571,,
572,,VERY GOOD.
573,,EXPERIENCE WAS GOOD.
574,,IT WAS GOOD 
575,,excellent
576,, IT WAS GOOD 
577,,
578,,it was good experience.
579,,
580,,very good
581,,
582,,very good and satisfactory.
583,,EXCELLENT
584,,Very good.  I was stressful before the audit like how they will conduct it but they were very good people and coordinated very well. Their attitude was very nice and managed everything well.
585,,It was good.
586,,
587,,it was good.
588,,It was good. Everything went well and the assessors were very helpful. 
589,,GOOD  EXPERIENCE 
590,"DURING PRE ASSESSMENT, NABL PORTAL WAS NOT WORKING AND DATE OF ASSESSMENT WAS INFORMED VERY LATE., WHICH CREATED A LOT OF CHOS.",IT WAS REALLY GOOD. VERY HAPPY WITH THE ASSESSMENT.
591,,good.
592,,overall experience was good.
593,,"good feedback, happy to get this opportunity thanks full to get the assesment .like that veryb much."
594,,IT WAS VERY GOOD
595,,EXCELLENT.
596,,very good
597,,"VERY GOOD 
THE LEAD ASSESSOR THEY INTRODUCED OUR TEAM  VERY WELL "
598,,0--5 it means experience was good
599,,
600,,it was very good
601,,very good experience.
602,,IT WAS GOOD 
603,, it was good.
604,,Good. Everything went well.
605,,
606,,it was good
607,,it was excelent.
608,"YES THE BEHAVIOUR  OF THE ASSESSOR INTIALLY HE WAS OK BUT THEN HE STARTED POINTING OUT IRRELIVANT THING . HE WAS VERY PARTIAL, THAT HE DIDI NOT WANTED TO GIVE GOOD REMARKS TO THE LAB",IT WAS NOT A GOOD EXPERIENCE AND WANT NABL TO TAKE ACTION . 
609,,
610,, IT WAS NICE EXPERIENCE.
611,,SATISFACTORY
612,,VERY GOOD.
613,,EXCELLENT.
614,,CLIENT SAID THAT AFTER 2000 IT WAS THEIR FIRST ASSESSMENT WHICH WAS COMPLETED WITHOUT ANY PRESSURE.HAPPY WITH THE ASSESSORS
615,,EXCELLENT
616,,ABSOLUTELY FINE.
617, not happy with anthology and microbiology, good
618,,
619,,Very good. They guided  very well.
620,,
621,,it was very good.
622,,Overall it was very good . Satisfied with the process.
623,,Great. The assessors were helpful.
624,,
625,,very good
626,,"IT WAS GOOD
"
627,," EXPERIENCE WAS GOOD ,  THEY  WERE CLEAR EVERY THING  AND GUIDE NICELY. "
628,,
629,, assessment was good and experience was excellent.
630,,every thing was good 
631,,it was fine
632,,VERY GOOD.
633,,IT WAS GOOD
634,,good
635,,good
636,,it was very good
637,,"fantastic ,excellent."
638,,IT WAS EXCELLENT
639,,
640, they were rush in 2nd day,experience was good
641,,IT WAS GOOD AND SMOOTHLY COMPLETED.
642,,
643,,VERY GOOD.
644,,EXCELLENT
645,,
646,,
647,"why should we store samples for so long, minus 80 deep freezer? for private labs.as after 1 week the patient would be negative and also we are not associated with any medical college. So can it be minus 20 for the pvt. labs.",it was good.
648,,it was first audit and t was good.
649,,We had a good time and learned a lot from the Team.
650,,NICE
651,,EXCELLENT 
652,,Everything was good.
653,,It was nice. We got to learn many new things.
654,,enjoyed the assessment
655,,
656,,
657,,Very happy. the assessor was an expert of her field and explained every little things. She was very cooperative and calm
658,assessor gave nc to have equas practicipation for urine parameters so that is in clinical pathalogy but as per nabl 112 it is not compulsory.,it was good
659,,
660,,no exPerience.
661,,excellent experience 
662,,It was good. Everything completely timely.
663,,
664,THE ASSESSORS SHOULD NOT COME WITH FIXED MIND. THE ASSESSORS WERE SEEKING FAULTS ONLY DURING THE ASSESSMENT.,GOOD.
665,,it was good.
666,,GOOD
667,,it was good.
668,,it was good
669,,"THE ASSESOR WAS REALLY GOOD AND MADE THEM UNDERSTAND EVERYTHING VERY EASILY , SHE PATIENTLY HANDLE EVERYTHING.SHE WAS VERY SWEET."
670,, excellent
671,,over all experience is very good.
672,,Excellent. 
673,,good
674,,Very Good.
675,,IT WAS VERY GOOD 
676,,Excellent. ONLY ONE THING : The assessors and the lab does its work on time but NABL takes very long to proceed with the response. It should be fast paced.
677,,It was great. 
678,,It was Great.
679,,it was good
680,,"yeah very nice we have been came through diff knowledgeable aspect , good aspect. it was transparent and all the steps were keenly observed"
681,,good experience 
682,,
683,,VERY GOOD. TIMELY COMPLETED AND SMOOTHLY DONE.
684,,Everything was great and on time.
685,,
686,,excellent. 
687,,EXCELLENT.
688,,
689,,VERY GOOD
690,,also good 
691,,"IT WAS VERY GOOD
"
692,,
693,,
694,,excellent.
695,,
696,, overall experience was good.
697,,excellent
698,,
699,,
700,collection of documents,it was good .
701,,VERY GOOD. FEW SUGGESTIONS - ONLINE AND OFFLINE MODE SHOULD BE CLEARLY MENTIONED BEFOREHAND ON THE PORTAL. ALSO MANY ASSESSORS ARE ASSIGNED FOR FEW PERIMETERS WHICH TAKES A LOT OF TIME. IT SHOULD BE CONDUCTED IN GROUPS. WE HAD TO FACE 11 AUDITORS DURING THIS ASSESSMENT.
702,, it was good.
703,,good
704,,VERY GOOD.
705,,It was very learning process and knowledgeable process.
706,,
707,,"Good, assessors did not exceed anything out of NABL assessment procedure. ONE SUGGESTION - The certification after the closing meeting should be done little early, if possible, cause 15 days gap is very much."
708,,
709,SINCE IT WAS HYBRID SO IT BECOME DIFFICULT FOR LAB ,IT WAS GOOD
710,,
711,,good.
712,,experiwence was very good . Lot of things they like the most like they gae god suggestion theer beaviour was god their councation skill was too good assesers were inspiring person . 
713,,
714,,fine 
715,,
716,,VERY GOOD
717,,EXCELLENT.
718,,
719,,GOOD
720,,fantastic.
721,,VERY GOOD
722,,it was good
723,,GOOD
724,,VERY GOOD
725,,EXCELLENT
726,,it was excellent
727,,IT WAS GOOD 
728,N A B L ASKED THE DATES FOR THE ASSESSMENT BUT DIDN'T CONSIDER THE DATES PREFERRED BY THE LAB.,GOOD.
729,,
730,,OVERALL EXPERIENCE WAS GOOD 
731,,good.
732,,It was nice but it would have been better if they assessed completely offline or kindly inform early for online.  As they confirmed it very late due to which our female staff faced inconvenience working late.  
733,,IT WAS GOOD .
734,,"Very Good. Audit may be arranged more quickly, some time management should be there."
735,ONE OF THE ASSESSOR GAVE IRRELEVANT NC.,GOOD
736,,SATISFIED
737,,VERY GOOD. TOTALLY SATISFIED.
738,,
739,,very  good
740,,VERY NICE AND SATISFACTORY.
741,,Everything was Fine.
742,,IT WAS GOOD
743,,It was good and they gave us good suggestions. ONE PROBLEM - The NABL site is not working. On the portal we can not login. It is showing temporarily closed.
744,,Excellent. They gave us good feedbacks for improvement. ONE SUGGESTION : if an assessors gets cancelled for any reason then they should not get to know the real reason otherwise it creates problem for us in near future.
745,,ALL GOOD.
746,,
747,,Excellent.
748,,GOOD.
749,, that was good.
750,,IT WAS GOOD 
751,,
752,,GOOD
753,, fantastic
754,,good.
755,,it was very good we are satisfied.
756,,it was very good.
757,,every thing was good
758,,IT WAS GOOD 
759,,Excellent. All the members of the lab our happy.
760,,Good.
761,,"Fantastic. This was our 9th assessment and we are happy. They have given lot of observations. LA Vinod Shrma, Rekha mam Sheena Ma'am, Shyam Dayal sir were very good and cooperative. One REQUEST is please help us to extend the certification tenure since it is about to end in june and the now certification will take time. But we need it for the work since the market is only working now after 2 years."
762,,it was good.
763,,Good.
764,,EXCELLENT.
765,THE OTHER ASSESSOR MR BALA GANESHAN WAS TOTALLY NEGATIVE.,IT WAS GOOD.
766,go inside very deeply., experience was very good because assessors were highly educated.
767,,VERY GOOD.
768,, IT WAS GOOD .
769,THE AUDITOR WAS NOT SO OPENED.THEY WERE NOT LISTENING THE PROBLEMS.THEY INPUT WHAT THEY THEY THINK,IT WAS LIKE OK TYPE. THE AUDITORS SHOULD BE SELECTED FROM PARTICULAR DOMAIN.
